sv,times,x,y,z,vx,vy,vz
G31,474894.859652,23144795.29275536,-8158693.042928003,10630566.607637437,1316.2718853875394,112.54863194623067,-2812.1171787876433
G05,474894.969841,-3263433.4449049225,18806930.47902703,18409143.64330771,-1432.3089725407906,-1866.2281586304694,1663.0557891139924
G06,474894.969841,14405358.772493105,-21254043.262543075,6400270.617453002,10.20256144817472,881.3994822041188,2992.4142533671284
G13,474894.969841,-10181909.297713032,-10903990.414674237,21831477.649230525,1494.9257376576306,-2365.2109754933053,-489.0608721185422
G16,474894.969841,2405113.3747605914,-19347501.019190438,17909254.196211107,1307.5594814849749,1872.1376041409285,1876.8090210641317
G21,474894.969841,25242439.247942295,4875055.467252659,8243983.955350152,-960.754603548372,334.8372467675722,2838.2827207569158
G23,474894.969841,-4456930.763887607,-18776878.81748508,18108776.52853642,1216.66332761003,-1968.8867152420112,-1779.7073064959143
G25,474894.969841,17766591.905899167,18788806.5019131,6096116.46546539,222.83974486657212,786.6144900125717,-3057.442095677773
G29,474894.969841,10982503.178737182,11144846.06200996,21531701.487212654,-1356.704084907327,2355.384526687305,-524.6497351540766
G30,474894.969841,20190536.074535806,8380450.474141886,14732556.352832964,1045.8699074664503,1644.9665519272278,-2310.282622896731
G31,474894.969841,23144940.329356965,-8158680.641703516,10630256.741912657,1316.234112003112,112.54143262445064,-2812.1415922664287
G05,474895.069681,-3263576.4477283256,18806744.154343996,18409309.680836763,-1432.3309159412925,-1866.2374456359214,1663.0165027224607
G06,474895.069681,14405359.790594717,-21253955.26191034,6400569.379405773,10.192101224155294,881.4337029981846,2992.400502796607
G13,474895.069681,-10181760.04522249,-10904226.557542361,21831428.81904718,1494.907804211636,-2365.215065478686,-489.10786413977377
G16,474895.069681,2405243.9226664575,-19347314.104363844,17909441.574906148,1307.5828599799497,1872.1497860128543,1876.770604965152
G21,474895.069681,25242343.324566588,4875088.8977389205,8244267.328664726,-960.7873748276511,334.8439659161986,2838.2660449917275
G23,474895.069681,-4456809.293292481,-18777075.39050448,18108598.840617765,1216.641860623165,-1968.8740881427957,-1779.7461906153308
G25,474895.069681,17766614.153379604,18788885.035849247,6095811.209800356,222.82292401131508,786.5813437850882,-3057.4550362443233
G29,474895.069681,10982367.726247545,11145081.223708816,21531649.103914566,-1356.6871315159678,2355.38668143672,-524.6951774884452
G30,474895.069681,20190640.493728776,8380614.706155708,14732325.692617944,1045.8607207409923,1644.9375682433474,-2310.314631229365
G31,474895.069681,23145071.740462236,-8158669.405892392,10629975.976591744,1316.1998859901114,112.53490997473364,-2812.163712209389
G05,474895.179646,-3263733.9553265367,18806538.932980996,18409492.552067462,-1432.3550845635368,-1866.2476737382542,1662.9732318030765
G06,474895.179646,14405360.910735797,-21253858.332980752,6400898.437894181,10.180580788697625,881.471394198916,2992.385357010775
G13,474895.179646,-10181595.658771886,-10904486.648664579,21831375.03145515,1494.888051746644,-2365.2195694921998,-489.15962160897004
G16,474895.179646,2405387.7124314606,-19347108.232675046,17909647.951659232,1307.6086093037745,1872.1632025217066,1876.7282925480463
G21,474895.179646,25242237.669598263,4875125.719262688,8244579.437580417,-960.8234692184968,334.8513669670617,2838.2476774424404
G23,474895.179646,-4456675.506570316,-18777291.896978773,18108403.128473252,1216.6182166095723,-1968.8601797577899,-1779.7890176328845
G25,474895.179646,17766638.65508371,18788971.530259546,6095474.995973726,222.8043967173728,786.5448362644677,-3057.469288392467
G29,474895.179646,10982218.539173799,11145340.23393564,21531591.403057456,-1356.6684585584876,2355.3890539892686,-524.745228103517
G30,474895.179646,20190755.501246527,8380795.589960094,14732071.636931282,1045.8506017009445,1644.9056451092417,-2310.349885005707
G31,474895.179646,23145216.474309932,-8158657.03138601,10629666.735669741,1316.1621886859489,112.52772640789931,-2812.1880747134423
G05,474895.279638,-3263877.1804750664,18806352.3226786,18409658.834119897,-1432.3770611748673,-1866.2569735739196,1662.9338848616435
G06,474895.279638,14405361.928188682,-21253770.191179536,6401197.651802318,10.170105701222838,881.5056670894637,2992.3715841616386
G13,474895.279638,-10181446.182823773,-10904723.151904566,21831326.117053263,1494.8700903655242,-2365.223664346181,-489.20668495594515
G16,474895.279638,2405518.4640020896,-19346921.030722152,17909835.60755114,1307.6320233234567,1872.175401567607,1876.6898171357007
G21,474895.279638,25242141.593296897,4875159.202057116,8244863.238807297,-960.856289847997,334.85809725151694,2838.230975094058
G23,474895.279638,-4456553.855556533,-18777488.766613577,18108225.161862765,1216.5967169204046,-1968.8475320826565,-1779.8279601717795
G25,474895.279638,17766660.932898667,18789050.17679122,6095169.272856562,222.78754916596426,786.5116398298883,-3057.482247294848
G29,474895.279638,10982082.884030119,11145575.754105859,21531538.93045718,-1356.6514788392567,2355.391210718606,-524.7907393861101
G30,474895.279638,20190860.077479847,8380960.065914174,14731840.618822832,1045.8413997739772,1644.8766170278261,-2310.3819409890407
G31,474895.279638,23145348.07828573,-8158645.779840178,10629385.53825215,1316.1279099222513,112.5211948458034,-2812.210227109521
G05,474895.379646,-3264020.430739335,18806165.681586172,18409825.138844166,-1432.399041209027,-1866.2662742740436,1662.8945312721216
G06,474895.379646,14405362.944756564,-21253682.031846825,6401496.912210831,10.159629443487802,881.5399454628955,2992.3578084680944
G13,474895.379646,-10181296.68475411,-10904959.693397485,21831277.19011738,1494.8521258089297,-2365.2277592081714,-489.2537557304026
G16,474895.379646,2405649.238836352,-19346733.797594592,17910023.28962212,1307.655441057448,1872.1876019116312,1876.6513351725828
G21,474895.379646,25242045.498339597,4875192.690882189,8245147.083775324,-960.8891154709247,334.8648290448127,2838.2142695034445
G23,474895.379646,-4456432.187227472,-18777685.666484922,18108047.162880573,1216.5752137814195,-1968.8348817394794,-1779.8669085706779
G25,474895.379646,17766683.212593276,18789128.83258715,6094863.499523874,222.77069840052195,786.4784382054413,-3057.495207620169
G29,474895.379646,10981947.208878309,11145811.312177775,21531486.444908783,-1356.6344961564917,2355.393367173294,-524.8362578391547
G30,474895.379646,20190964.669526353,8381124.565282973,14731609.560542561,1045.8321957954622,1644.847584172079,-2310.414001587087
G31,474895.379646,23145479.69989134,-8158634.527147216,10629104.29362395,1316.0936253667605,112.5146627236727,-2812.232382467409
G05,474895.489718,-3264178.0990981227,18805960.25736148,18410008.174587384,-1432.423233028536,-1866.276510200782,1662.8512170471054
G06,474895.489718,14405364.062412793,-21253584.996905442,6401826.286185079,10.14809952434598,881.5776733344753,2992.342645759075
G13,474895.489718,-10181132.144479105,-10905220.038995428,21831223.334126685,1494.8323530955126,-2365.232265395854,-489.305563209314
G16,474895.489718,2405793.176504559,-19346527.721421883,17910229.854056895,1307.6812153263966,1872.2010292441216,1876.6089802387173
G21,474895.489718,25241939.72936439,4875229.550531459,8245459.490684542,-960.9252441016874,334.87223877090673,2838.195882138104
G23,474895.489718,-4456298.277663,-18777902.379311737,18107851.247010924,1216.5515467285757,-1968.8209576227528,-1779.9097759936474
G25,474895.489718,17766707.73238892,18789215.399830684,6094526.954126224,222.7521513105935,786.4418955778144,-3057.5094714160828
G29,474895.489718,10981797.882434739,11146070.575167123,21531428.67237493,-1356.6158041882427,2355.395739919694,-524.8863567734873
G30,474895.489718,20191079.78581026,8381305.615187651,14731355.246710526,1045.822064933083,1644.8156295337944,-2310.449287910644
G31,474895.489718,23145624.5628721,-8158622.142828897,10628794.744239096,1316.0558903349593,112.50747382218856,-2812.256766688322
G05,474895.589646,-3264321.2393845282,18805773.763618074,18410174.33801927,-1432.4451952833708,-1866.2858021521433,1662.8118941989997
G06,474895.589646,14405365.075969093,-21253496.900900338,6402125.304313223,10.137632708633419,881.6119242848472,2992.328879740809
G13,474895.589646,-10180982.769768566,-10905456.39212966,21831174.436450392,1494.8144022768388,-2365.2363556238697,-489.3525961134922
G16,474895.589646,2405923.8516423134,-19346340.63550839,17910417.377917916,1307.704614260021,1872.2132184563734,1876.5705282313336
G21,474895.589646,25241843.704387676,4875263.013980953,8245743.105088687,-960.9580429241544,334.8789660856146,2838.179188715362
G23,474895.589646,-4456176.7111735465,-18778099.11902078,18107673.382242374,1216.5300607706376,-1968.8083160469,-1779.9486924570845
G25,474895.589646,17766729.990724463,18789293.98573908,6094221.422672684,222.73531293709493,786.4087207685584,-3057.5224200084494
G29,474895.589646,10981662.319378428,11146305.945260312,21531376.219258577,-1356.5988345731616,2355.397893348612,-524.9318385797918
G30,474895.589646,20191184.29225802,8381469.976874428,14731124.366533512,1045.8128671016962,1644.7866196307932,-2310.48132178217
G31,474895.589646,23145756.071993474,-8158610.900508112,10628513.719938854,1316.0216325611227,112.50094794343772,-2812.278903100101
G05,474895.69963,-3264478.786766421,18805568.501478065,18410357.218342736,-1432.469367545625,-1866.2960284555616,1662.768613789773
G06,474895.69963,14405366.190313043,-21253399.93562131,6402454.411779455,10.126113175471346,881.6496219910109,2992.3137276749444
G13,474895.69963,-10180818.365187814,-10905716.530532531,21831120.61264775,1494.7946446753308,-2365.240856714498,-489.4043619350957
G16,474895.69963,2406067.6796428375,-19346134.721272092,17910623.768323526,1307.7303678485562,1872.2266335442273,1876.5282062490273
G21,474895.69963,25241738.012393016,4875299.845716438,8246055.258378191,-960.994142074494,334.88637088503583,2838.1608147349966
G23,474895.69963,-4456042.913631643,-18778315.65566943,18107477.614009973,1216.5064126169914,-1968.7944015745802,-1779.9915247511951
G25,474895.69963,17766754.48702595,18789380.47610797,6093885.143343121,222.71677947860144,786.3722076376259,-3057.5366708984334
G29,474895.69963,10981513.116239253,11146565.001472546,21531318.482402403,-1356.5801569795171,2355.4002627669893,-524.9818972027138
G30,474895.69963,20191299.314383566,8381650.875330278,14730870.248617012,1045.8027430014636,1644.7546902406473,-2310.516578706785
G31,474895.69963,23145900.81124318,-8158598.527598794,10628204.412916224,1315.9839269893512,112.4937659094337,-2812.3032664805714
G05,474895.799641,-3264622.050559543,18805381.85088101,18410523.511526722,-1432.4913478454484,-1866.3053268154242,1662.7292575409972
G06,474895.799641,14405367.202511936,-21253311.759246774,6402753.675378682,10.115638728191698,881.6839013875313,2992.2999488777136
G13,474895.799641,-10180668.870179033,-10905953.080840476,21831071.664474245,1494.77667831394,-2365.244948980923,-489.45143368788735
G16,474895.799641,2406198.468235721,-19345947.477404296,17910811.439861543,1307.753786149544,1872.2388315079236,1876.4897214758157
G21,474895.799641,25241641.900766302,4875333.338374061,8246339.104844007,-961.02696759724,334.89310469423367,2838.1441062507206
G23,474895.799641,-4455921.25068426,-18778512.55613354,18107299.59332997,1216.4849087927971,-1968.781748145986,-1780.030472758956
G25,474895.799641,17766776.76031105,18789459.12031859,6093579.355395063,222.69992603117748,786.3390055296238,-3057.5496288797617
G29,474895.799641,10981377.444150459,11146800.567515941,21531265.97616163,-1356.5631727519271,2355.4024166832623,-525.02741655107
G30,474895.799641,20191403.905701373,8381815.367439596,14730639.1699403,1045.793536314424,1644.7256559703405,-2310.5486381049946
G31,474895.799641,23146032.422397204,-8158587.277311264,10627923.150546433,1315.949640117076,112.48723562885561,-2812.3254200550273
G05,474895.89965,-3264765.3136860197,18805195.20308668,18410689.79744923,-1432.5133276119177,-1866.3146243656558,1662.6899017271753
G06,474895.89965,14405368.213643223,-21253223.581207268,6403052.931615227,10.10516499631376,881.7181800972644,2992.2861697153944
G13,474895.89965,-10180519.379956635,-10906189.626827132,21831022.712572064,1494.758712010439,-2365.249040518197,-489.49850439604575
G16,474895.89965,2406329.2565551465,-19345760.236061115,17910999.103797726,1307.7772039499214,1872.2510285737385,1876.4512370779858
G21,474895.89965,25241545.787778836,4875366.831035342,8246622.943962446,-961.0597922051836,334.899838800696,2838.1273975308864
G23,474895.89965,-4455799.592320296,-18778709.45139462,18107121.572314914,1216.4634053891157,-1968.7690943260966,-1780.0694196164718
G25,474895.89965,17766799.031465065,18789537.75963619,6093273.572266248,222.6830724025292,786.305804207645,-3057.5625859512284
G29,474895.89965,10981241.776473396,11147036.129063886,21531213.46641858,-1356.5461886174726,2355.404569936609,-525.0729348771589
G30,474895.89965,20191508.494006738,8381979.8533558985,14730408.092678519,1045.7843292322825,1644.6966221512512,-2310.580696347353
G31,474895.89965,23146164.027490232,-8158576.027901898,10627641.891585799,1315.915353623727,112.48070596404136,-2812.3475726035226
G05,474896.009691,-3264922.9502158957,18804989.83139626,18410872.7591263,-1432.5375120817662,-1866.3248538415153,1662.6465976865795
G06,474896.009691,14405369.324991558,-21253126.553981774,6403382.20494344,10.093641218825724,881.7558973362161,2992.271007611665
G13,474896.009691,-10180354.896300895,-10906449.90144446,21830968.844817482,1494.7389431413185,-2365.2535417335844,-489.55029669333294
G16,474896.009691,2406473.1670841016,-19345554.210947324,17911205.588038497,1307.802970775302,1872.2644483834415,1876.4088918172724
G21,474896.009691,25241440.02981096,4875403.6841561645,8246935.25332793,-961.0959091829225,334.9072489110083,2838.1090120848503
G23,474896.009691,-4455665.7327724695,-18778926.09594845,18106925.689338073,1216.439744947113,-1968.7551704447205,-1780.1122728420087
G25,474896.009691,17766823.534712713,18789624.283503283,6092937.114237241,222.66452757118714,786.2692725698239,-3057.576842007218
G29,474896.009691,10981092.501802433,11147295.320268523,21531155.684112057,-1356.5275005031522,2355.4069384686527,-525.123019061394
G30,474896.009691,20191623.572602667,8382160.835659254,14730153.832127333,1045.7741979095144,1644.664675772025,-2310.615969788397
G31,474896.009691,23146308.830055963,-8158563.650807792,10627332.416705457,1315.8776274644747,112.47352186282978,-2812.371946622115
G05,474896.109602,-3265066.077568257,18804803.36454987,18411038.873846553,-1432.5594701132584,-1866.3341409726095,1662.607279699413
G06,474896.109602,14405370.332934592,-21253038.4551576,6403681.165044359,10.083178811625885,881.7901424531369,2992.2572406078307
G13,474896.109602,-10180205.55633502,-10906686.216495182,21830919.93100865,1494.7209938109872,-2365.2576279035975,-489.59732105963184
G16,474896.109602,2406603.8321554884,-19345367.150525384,17911393.06000666,1307.8263655605153,1872.2766321253841,1876.3704443037811
G21,474896.109602,25241344.00411934,4875437.145410437,8247218.810803583,-961.1287010836494,334.91397732469795,2838.092318543022
G23,474896.109602,-4455544.198134263,-18779122.79561472,18106747.8345971,1216.4182625949175,-1968.7425276728297,-1780.1511807559828
G25,474896.109602,17766845.780507267,18789702.838795625,6092631.628030716,222.64768937047506,786.2361040382773,-3057.5897850168235
G29,474896.109602,10980956.970631003,11147530.65143851,21531103.21627442,-1356.5105324945541,2355.4090883116987,-525.1684925486168
G30,474896.109602,20191728.056489024,8382325.154302629,14729922.974575303,1045.7649986344838,1644.6356701320763,-2310.6479955367154
G31,474896.109602,23146440.298994415,-8158552.41379164,10627051.428706411,1315.8433739254374,112.46699961430772,-2812.394076240202
G05,474896.219625,-3265223.6933892984,18804598.02430602,18411221.79650569,-1432.5836504104789,-1866.3443673348172,1662.5639819292053
G06,474896.219625,14405371.441682475,-21252941.43588606,6404010.3813288575,10.07165808757145,881.8278535194816,2992.24207950477
G13,474896.219625,-10180041.103734428,-10906946.449482772,21830866.06119387,1494.7012274795734,-2365.26212688775,-489.6491046463784
G16,474896.219625,2406747.7245529536,-19345161.15629539,17911599.50158302,1307.8521280964264,1872.290048229687,1876.3281050592975
G21,474896.219625,25241238.255869605,4875473.994058725,8247531.065223636,-961.1648115568346,334.92138722036316,2838.073934788745
G23,474896.219625,-4455410.365449131,-18779339.401807982,18106551.974666663,1216.3946060012288,-1968.7286045810472,-1780.1940261141033
G25,474896.219625,17766870.275853943,18789789.340841297,6092295.222045529,222.62914637577273,786.199578658061,-3057.6040372380553
G29,474896.219625,10980807.724300478,11147789.800743002,21531045.432906568,-1356.4918468679114,2355.4114550247828,-525.2185682816787
G30,474896.219625,20191843.11413422,8382506.100295842,14729668.748210728,1045.7548676313313,1644.6037286796834,-2310.6832620191376
G31,474896.219625,23146585.069954954,-8158540.040229956,10626741.99933227,1315.8056532289224,112.45981780875127,-2812.418444925543
G05,474896.319646,-3265366.9829378612,18804411.350211255,18411388.08584932,-1432.605632420299,-1866.3536633811325,1662.5246199144392
G06,474896.319646,14405372.44853589,-21252853.2328679,6404309.66768448,10.061185223931943,881.8621363368111,2992.2282959984827
G13,474896.319646,-10179891.603121646,-10907183.025570417,21830817.083646487,1494.6832577545783,-2365.266216197193,-489.6961805685499
G16,474896.319646,2406878.5384019194,-19344973.887362637,17911787.171871454,1307.8755485709096,1872.3022440124137,1876.2896143880803
G21,474896.319646,25241142.117562216,4875507.493567686,8247814.931380802,-961.1976390181562,334.92812394887824,2838.057221671378
G23,474896.319646,-4455288.7015198255,-18779536.31537862,18106373.915932134,1216.3730999774882,-1968.7159465366965,-1780.2329760849743
G25,474896.319646,17766892.542600736,18789867.975648813,6091989.396784219,222.6122885482846,786.1663738650395,-3057.6169931311424
G29,474896.319646,10980672.047478996,11148025.391459668,21530992.897743497,-1356.4748596603229,2355.413605933074,-525.2640915990689
G30,474896.319646,20191947.711121134,8382670.593753208,14729437.62975693,1045.7456570117872,1644.5746908334702,-2310.715321946199
G31,474896.319646,23146716.67643716,-8158528.79221312,10626460.697319217,1315.7713613333974,112.45328939825117,-2812.4405976837284
G05,474896.429598,-3265524.5021211524,18804206.140331432,18411570.88137773,-1432.6297968968495,-1866.3638817041835,1662.4813492723792
G06,474896.429598,14405373.55415057,-21252756.268290237,6404638.668337141,10.049673102482302,881.8998230643888,2992.2131432002157
G13,474896.429598,-10179727.260794038,-10907443.091568593,21830763.237727005,1494.6635034830779,-2365.270710783584,-489.74793049973897
G16,474896.429598,2407022.3433497436,-19344768.02324925,17911993.471341033,1307.9012944070416,1872.31564994929,1876.2473015558928
G21,474896.429598,25241036.429975346,4875544.3199920785,8248126.980438531,-961.233725591971,334.9355300599036,2838.038848465312
G23,474896.429598,-4455154.960164299,-18779752.77886943,18106178.173401978,1216.3494586280185,-1968.7020309422464,-1780.2757929366896
G25,474896.429598,17766917.01824813,18789954.4142075,6091653.204897464,222.59375632332672,786.129872337284,-3057.6312346527984
G29,474896.429598,10980522.901381798,11148284.374026485,21530935.14115487,-1356.456185522884,2355.415969687811,-525.3141347586557
G30,474896.429598,20192062.692390967,8382851.416274769,14729183.560048286,1045.7355312091886,1644.5427696949052,-2310.7505644820612
G31,474896.429598,23146861.346057538,-8158516.428143416,10626151.462511767,1315.733664270766,112.44611334742649,-2812.464949297633
G05,474896.529654,-3265667.8464282537,18804019.398961753,18411737.22064186,-1432.6517864016082,-1866.3731796932566,1662.4419727442594
G06,474896.529654,14405374.559156459,-21252668.02720588,6404938.056525532,10.0391976369458,881.9341178753741,2992.1993535249785
G13,474896.529654,-10179577.711641898,-10907679.75129937,21830714.233152132,1494.6455268369782,-2365.274800164133,-489.79502267792435
G16,474896.529654,2407153.207893759,-19344580.68622432,17912181.199214738,1307.9247230089823,1872.3278486258873,1876.2087965877
G21,474896.529654,25240940.251130767,4875577.832638704,8248410.942417136,-961.2665639976499,334.94227005305993,2838.0221283028723
G23,474896.529654,-4455033.258179257,-18779949.75868625,18106000.04417801,1216.3279450588648,-1968.689367115005,-1780.3147557569707
G25,474896.529654,17766939.28924541,18790033.069556244,6091347.269898259,222.57689150820852,786.0966561815567,-3057.6441937124932
G29,474896.529654,10980387.180651834,11148520.047634339,21530882.578045547,-1356.4391918532992,2355.418120046603,-525.3596737705408
G30,474896.529654,20192167.324044257,8383015.96119293,14728952.353985406,1045.7263161498809,1644.5137214158692,-2310.782634546386
G31,474896.529654,23146992.99138885,-8158505.177561774,10625870.05741023,1315.6993597313674,112.43958367173832,-2812.487108583043
